"filename", "language", "MS SQL", "JSON", "JavaScript", "XML", "Markdown", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\public\file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\public\globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\public\window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\001_initial_schema.sql", "MS SQL", 35, 0, 0, 0, 0, 0, 0, 4, 9, 48
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\002_phase3_campaigns.sql", "MS SQL", 31, 0, 0, 0, 0, 0, 0, 1, 11, 43
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\003_email_templates.sql", "MS SQL", 20, 0, 0, 0, 0, 0, 0, 0, 7, 27
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\004_lead_imports.sql", "MS SQL", 57, 0, 0, 0, 0, 0, 0, 1, 8, 66
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\005_sends_per_hour_100.sql", "MS SQL", 2, 0, 0, 0, 0, 0, 0, 2, 2, 6
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\006_ai_instructions.sql", "MS SQL", 17, 0, 0, 0, 0, 0, 0, 0, 7, 24
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\007_lead_sending_status.sql", "MS SQL", 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\008_workspaces_saas.sql", "MS SQL", 301, 0, 0, 0, 0, 0, 0, 20, 51, 372
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\009_require_smtp_onboarding.sql", "MS SQL", 6, 0, 0, 0, 0, 0, 0, 2, 1, 9
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\010_activation_checklist.sql", "MS SQL", 2, 0, 0, 0, 0, 0, 0, 1, 1, 4
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\011_leads_categories_campaigns.sql", "MS SQL", 161, 0, 0, 0, 0, 0, 0, 5, 26, 192
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\012_template_branding.sql", "MS SQL", 52, 0, 0, 0, 0, 0, 0, 4, 7, 63
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\supabase\migrations\013_lead_manual_fields.sql", "MS SQL", 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\Haseeb Specter\Documents\GitHub\email-automation\vercel.json", "JSON", 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"Total", "-", 693, 2632, 12787, 5, 49, 7, 273, 1034, 2029, 19509
